Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Two Lives	3	1703	Off-List[25]	"1,011"	"1,812"	"2,551"	"14,234"	1	2
		University Murders The	4	2117	Off-List[97]	"1,478"	Off-List[1]	"7,120"	"14,703"	2	2
		Way Home The	5	Off-List[42]	Off-List[360]	"2,104"	Off-List[66]	"3,885"	"13,999"	2	4
		What a Lottery!	1	Off-List[1]	Off-List[6]	"1,597"	"2,635"	"9,438"	"12,351"	2	3
		When Summer Comes	4	2418	Off-List[123]	"1,487"	Off-List[1]	"3,134"	"12,442"	1	2
		Why?	1	1878	Off-List[3]	"1,440"	Off-List[1]	"12,480"	"14,794"	2	5
		Wild Country	3	2058	Off-List[36]	"1,393"	Off-List[1]	"2,551"	"11,210"	1	2
		Windows of the Mind	5	Off-List[37]	Off-List[286]	"2,003"	Off-List[37]	"4,089"	"13,792"	2	3
	Cambridge Experience Readers (formerly Discovery Readers)
		Alone	3	2440	Off-List[48]	"1,693"	Off-List[6]	"3,531"	"13,836"	2	4
		Amazing Young Sports People	2	Off-List[19]	Off-List[53]	Off-List[2]	Off-List[13]	"4,750"	"15,211"	4	14
		Ask Alice	2	1855	Off-List[17]	"1,630"	Off-List[1]	"1,607"	"10,678"	1	2
		Bullring Kid and Country Cowboy	4	Off-List[11]	Off-List[123]	"2,104"	Off-List[10]	"5,718"	"16,113"	2	3
		Freddie's War	5	Off-List[66]	Off-List[347]	"2,494"	Off-List[70]	"4,634"	"13,283"	2	4
		Gone!	1	1917	Off-List[3]	"1,501"	Off-List[1]	"13,747"	"13,747"	2	5
		Grandad's Magic Gadgets	2	Off-List[12]	Off-List[53]	"2,490"	Off-List[11]	"15,854"	"15,936"	2	5
		Killer Bees	2	Off-List[1]	Off-List[35]	"1,948"	Off-List[3]	"3,034"	"14,252"	2	2
		Little Trouble in Amsterdam A	2	2017	Off-List[17]	"1,501"	Off-List[1]	"12,176"	"12,676"	1	2
		LIttle Trouble in California A	1	1993	Off-List[5]	"1,305"	Off-List[1]	"12,676"	"14,157"	1	4
		Little Trouble in Dublin A	2	1970	Off-List[8]	"1,608"	Off-List[1]	"12,675"	"12,676"	1	4
		Little Trouble in the Yorkshire Dales A	3	2153	Off-List[31]	"1,602"	Off-List[1]	"12,675"	"12,676"	2	4
		Mayor of Casterbridge The	5	Off-List[4]	Off-List[163]	"1,691"	Off-List[7]	"3,123"	"12,499"	2	3
		Mind Map The	3	Off-List[3]	Off-List[40]	"2,007"	Off-List[6]	"3,561"	"14,742"	2	6
		New Zealand	2	Off-List[6]	Off-List[77]	"2,226"	Off-List[14]	"3,721"	"20,603"	2	6
		Parties and Presents: Three Short Stories	2	2457	Off-List[39]	"1,614"	Off-List[3]	"2,492"	"13,283"	1	2
		Quick Change	1	1481	Off-List[2]	"1,630"	"2,129"	"1,396"	"5,257"	1	2
		Robinson Crusoe	4	Off-List[3]	Off-List[56]	"1,864"	Off-List[5]	"2,460"	"4,345"	1	2
		Running Wild	3	2456	Off-List[50]	"1,789"	Off-List[2]	"1,799"	"11,210"	1	2
		Scotland	3	Off-List[32]	Off-List[168]	"2,617"	Off-List[43]	"9,958"	"18,103"	2	5
		Summer Sounds	2	2332	Off-List[8]	"1,630"	Off-List[3]	"11,139"	"27,832"	1	4
		Tales of Terror	3	Off-List[10]	Off-List[94]	"2,136"	Off-List[10]	"2,492"	"7,735"	2	4
		Tasty Tales	4	Off-List[17]	Off-List[131]	"2,547"	Off-List[24]	"2,990"	"13,629"	2	5
		Two Worlds	4	2225	Off-List[58]	"1,630"	Off-List[1]	"2,160"	"3,909"	2	3
		Vinnie's Vacation	2	2217	Off-List[4]	"1,664"	Off-List[1]	"13,691"	"20,264"	2	5
Cengage / Heinle / National Geographic
	Footprints Reading Library
		Adventure Capital of the World The 	3	Off-List[9]	Off-List[38]	Off-List[2]	Off-List[15]	"3,942"	"20,706"	3	33
		Afghanistans Heroic Artists	5	Off-List[47]	Off-List[128]	Off-List[11]	Off-List[61]	"8,560"	"14,009"	3	13
		Alaskan Ice Climbing	2	Off-List[6]	Off-List[27]	Off-List[2]	Off-List[13]	"6,962"	"23,613"	3	12
		Alternative Energy	5	Off-List[32]	Off-List[100]	Off-List[4]	Off-List[41]	"8,073"	"28,225"	4	9
		Amazing Human Body	5	Off-List[38]	Off-List[95]	Off-List[6]	Off-List[36]	"6,397"	"12,625"	3	4
		Aquarium on Wheels	4	Off-List[6]	Off-List[48]	"2,440"	Off-List[17]	"4,219"	"9,770"	2	4
		Arctic Whale Danger!	2	Off-List[7]	Off-List[21]	Off-List[3]	Off-List[7]	"9,491"	"39,223"	4	16
		Art of Silk Making The	4	Off-List[13]	Off-List[43]	Off-List[7]	Off-List[21]	"7,414"	"19,726"	4	33
		Beagle Patrol	4	Off-List[19]	Off-List[64]	Off-List[3]	Off-List[20]	"6,008"	"19,113"	3	8
		Bird Girl	4	Off-List[5]	Off-List[44]	"2,007"	Off-List[8]	"9,700"	"14,740"	2	5
		Birds in Paradise	3	Off-List[13]	Off-List[44]	Off-List[3]	Off-List[19]	"5,615"	"19,383"	5	33
		Black Diamonds of Provence The	4	Off-List[23]	Off-List[83]	Off-List[2]	Off-List[29]	"43,041"	"43,041"	10	10
		Blue Cows?	4	Off-List[3]	Off-List[24]	Off-List[1]	Off-List[6]	"10,612"	"34,669"	3	21
		Butler School	3	Off-List[2]	Off-List[33]	Off-List[1]	Off-List[10]	"7,550"	"14,162"	4	8
		Cambodia Animal Rescue	3	Off-List[10]	Off-List[36]	Off-List[1]	Off-List[9]	"3,762"	"13,810"	3	6
		Canyaking Adventure	5	Off-List[48]	Off-List[153]	Off-List[10]	Off-List[53]	"7,847"	"43,238"	7	33
		Capoeira: The Fighting Dance	4	Off-List[6]	Off-List[30]	Off-List[1]	Off-List[11]	"12,331"	"44,567"	2	4
		Cheese-Rolling Races	3	Off-List[3]	Off-List[16]	"2,400"	Off-List[1]	"2,822"	"6,504"	2	3
		Cheetahs in Focus	4	Off-List[42]	Off-List[123]	Off-List[5]	Off-List[45]	"9,461"	"12,175"	4	10
		Chinese Artist in Harlem A	4	Off-List[3]	Off-List[33]	"2,165"	Off-List[12]	"8,527"	"15,158"	2	3
		Chuckwagon Racing	4	Off-List[18]	Off-List[67]	Off-List[5]	Off-List[21]	"9,106"	"32,486"	4	33
		Columbus & New World	2	Off-List[2]	Off-List[16]	"2,114"	Off-List[3]	"10,125"	"15,301"	3	5
		Confucianism in China	4	Off-List[5]	Off-List[33]	Off-List[1]	Off-List[12]	"9,141"	"46,229"	3	3
		Cupid the Dolphin	4	Off-List[9]	Off-List[52]	Off-List[1]	Off-List[13]	"6,987"	"12,966"	4	15
		Dangerous Dining	3	Off-List[13]	Off-List[47]	Off-List[4]	Off-List[20]	"12,602"	"29,840"	6	24
		Dinosaur Builder	5	Off-List[36]	Off-List[102]	Off-List[10]	Off-List[51]	"6,521"	"12,526"	4	6
		Dinosaur Search	3	Off-List[8]	Off-List[27]	Off-List[4]	Off-List[12]	"4,684"	"24,462"	5	33
		Disappearing World A	3	Off-List[3]	Off-List[15]	"1,990"	Off-List[5]	"5,951"	"21,778"	2	4
		Don't Believe Your Eyes	2	Off-List[2]	Off-List[19]	Off-List[1]	Off-List[8]	"20,253"	0[1]	5	Off-List[1]
		Dreamtime Painters	2	Off-List[2]	Off-List[19]	Off-List[1]	Off-List[8]	"12,897"	"59,158"	7	11
		Exciting Streets of Barcelona The	5	Off-List[31]	Off-List[91]	Off-List[3]	Off-List[36]	"4,835"	"11,543"	3	5
		Extreme Sky Diving	4	Off-List[26]	Off-List[104]	Off-List[6]	Off-List[30]	"6,644"	"16,308"	4	18
		Farley the Red Panda	3	Off-List[5]	Off-List[27]	Off-List[1]	Off-List[9]	"4,596"	"35,914"	4	20
		Firewalking	5	Off-List[50]	Off-List[135]	Off-List[8]	Off-List[57]	"7,456"	"26,448"	3	14
		Flying Pumpkins	3	Off-List[15]	Off-List[44]	Off-List[2]	Off-List[14]	"4,057"	"16,311"	4	8
		Future of a Village	2	Off-List[1]	Off-List[8]	"2,054"	Off-List[1]	"3,877"	"6,006"	2	3
		Gauchos of Argentina The	4	Off-List[39]	Off-List[115]	Off-List[10]	Off-List[54]	"13,670"	"61,596"	5	33
		Giant Cave Crocs!	4	Off-List[19]	Off-List[74]	Off-List[2]	Off-List[14]	"3,548"	"22,660"	7	33
		Giant's Causeway The	2	Off-List[7]	Off-List[25]	Off-List[3]	Off-List[12]	"18,057"	"51,718"	4	11
		Gliding Across the Gobi	4	Off-List[7]	Off-List[47]	"2,431"	Off-List[11]	"3,302"	"20,366"	2	6
		Gorilla Watching Tours	3	Off-List[1]	Off-List[19]	Off-List[1]	Off-List[5]	"2,682"	"17,567"	8	9
		Great Kite Fight The	4	Off-List[31]	Off-List[114]	Off-List[1]	Off-List[25]	"3,998"	"7,789"	6	6
		Happy Elephants	2	Off-List[4]	Off-List[19]	Off-List[1]	Off-List[5]	"2,639"	"6,499"	2	5
		Hidden Treasures of Egypt The	5	Off-List[42]	Off-List[118]	Off-List[7]	Off-List[44]	"11,009"	"22,864"	4	7
		How's the Weather?	4	Off-List[21]	Off-List[55]	Off-List[4]	Off-List[26]	"4,935"	"9,412"	3	10
		Killer Bees	3	Off-List[14]	Off-List[52]	Off-List[5]	Off-List[21]	"7,654"	"15,900"	3	19
		King of the Spiders The	5	Off-List[52]	Off-List[140]	Off-List[10]	Off-List[58]	"8,726"	"12,554"	5	14
